"","fid","c_ratio"
"1","00008c73ee43c15b16c26b26398c1577",0
"2","0000e2398b12121a85166fed5fe2a3da",0
"3","0001fe8dce14ce099aa6ca8ea5026ea7",0
"4","00027f50019000accc492e5684efc818",0
"5","00028c9da3573ec50db74b44310ae507",0
"6","0002ded3a0b54f2ffdab0ca77a5ce2b6",0
"7","0003dc8130969abe688cadf5f14ea19f",0
"8","000462baadff8a02f7f6fef84d242eed",0.00815952601116477
"9","00050a9df8e13f6ab5a3d3b3e2fc6a86",0
"10","0005e4c0263f52453438ddd0d55aef82",0
"11","0006ac9aadbdbf2fed5e62b4e463daa1",0
"12","0006d16543c1c4866dfa59fbbf7eedab",0
"13","0007819a84e047a78fbbd620557104ad",0
"14","0008720f6bfadf1aa4039a856eef3ecb",0
"15","000a00e6939f803bbf4aaf51b39048d0",0
"16","000b1aa62b95e448784b8b341de46c64",0
"17","000b4096d7a0962245181f01e002b203",0
"18","000d282c41fc76964cdc31b805c464a7",0
"19","000d409d670038a868ed471a8334345d",0
"20","000d9f96b5eddf04a3b7a37cb95d0a00",0
"21","000f15bf6a8f0b51126ece0ce93af65c",0
"22","0010f818848455dfe997e69ee03518ef",0
"23","00111635044e630cb47c519a6ab7e906",0
"24","00117b31bd107c43123c8a0180dc036c",0
"25","0011d5f78c56a18dbb60a455c084ecca",0
"26","0012028fdd971d39caa88c8d0136334a",0.0321021545628484
"27","00132b31a466e3e2a71ef5235e7d1305",0
"28","0014f376f7468a7e0c2a53634c59ac41",0
"29","001543427ff6300877e6a44e354588a6",0
"30","0015734d9e317de07623fd04ddaef05a",0
"31","00192fd48e421b51228e63845df46b9c",0
"32","0019e9f595600ccdad3b18fd533b8db2",0
"33","001abb71230ddab7ff7016ccfac80d16",0
"34","001ac19de0eb93f585f74c2d207d9afc",0
"35","001e99215de891f05b5477909bc7f881",0
"36","001f3cc1a52d5f5f1bc00a695b0d76d6",0
"37","001fbbcf7a772e68e7ca1accf93e807d",0
"38","001fdd36a279feac528ff5a90b95abfe",0.0535035909380807
"39","00204f1e3ee2102835b99b1cd372a8d5",0
"40","0020a74237a56d01edf2533a2b500b56",0
"41","0021c7f072ad0e8068ab8c611700bfe1",0
"42","00222cfb0a608b5c82b6146d8ab4b5e3",0.080255386407121
"43","0023276a212ce8efa247fc1bca44b853",0
"44","0023a488eab672009fd8a97aa2a930a8",0
"45","00245e6ba06c7142c6c8e9b60b0b4afc",0.080255386407121
"46","00245e8c6aa3db195be49c04ecacb551",0
"47","00272b94de0e8e2af3cd67422388ddba",0
"48","002790d7b247bed1ee6f8cb22666de00",0
"49","0029bf6bbac4cb8ef325828408ca8721",0
"50","002a80d574a26583900e0b1e199c4ef8",0
"51","002d78cefc2397e89c416fb1938024d8",0
"52","002dda05885ccc7a9872aa99adb6b153",0
"53","002e1ecd5f949e85232c299d5edf2a43",0
"54","002e3abbb4493e8ed5c3580622fea049",0
"55","002e7d021896a755c1f77b331e80b5c1",0
"56","00300d8402fbd9d8a74af5478b1326d6",0
"57","0033d1a13c7f83237452a34b6d71b47c",0
"58","0033e984df54bbaa1ead7d66fbad38f0",0
"59","0034191f1ba86a77526df5f2a7188a2c",0
"60","0034545800bd3cd3c7348e6bfd3c8699",0
"61","003478d0d29d8a342c495f3175d45ddc",0
"62","00348cab07252551b7567418dd282295",0.0267517954690403
"63","00351550e94ffd37fded54967678cde2",0
"64","00378119167b2a222cfa2ddbd0b71dae",0
"65","0037b95a0d0dd6a905ffd53cbc6dce84",0
"66","00387641d2371ec45e724630a0f53e0b",0
"67","0038782816483995071377d78c2104ad",0
"68","00391785ae2604198ff96170941d7f65",0.0401276932035605
"69","003af692f5aa17e3af3b363759fbd4bd",0
